,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0,-0.40474796752672615,0.26709699154323396,-1.2695365635016373,-0.26726124191242434,-0.1581586281162774,0.40978617765937775,-0.15637848721178327,0.13367204968028806,-0.9719817622817092,-0.6603944819914044,-1.3826530141452298,0.44552044032875837,-1.0899453112918724
1,-0.4024571073477203,-0.49843753503438565,-0.5804138045699054,-0.26726124191242434,-0.7439662629737779,0.18869306433225527,0.3356072444136306,0.5440091831772239,-0.8567438777020568,-0.9820037124437071,-0.26072948728031103,0.44552044032875837,-0.511067338482581
2,-0.40245929015875315,-0.49843753503438565,-0.5804138045699054,-0.26726124191242434,-0.7439662629737779,1.285544613565512,-0.30361509302668815,0.5440091831772239,-0.8567438777020568,-0.9820037124437071,-0.26072948728031103,0.40175418947930214,-1.2221410021978405
3,-0.4019048561564021,-0.49843753503438565,-1.288357143052294,-0.26726124191242434,-0.8373558859220744,1.0170744045254354,-0.853059012287187,1.0563341117971006,-0.7415059931224046,-1.1011182422408563,0.14316298239105907,0.42111027093606423,-1.3738181633425828
4,-0.397901580722103,-0.49843753503438565,-1.288357143052294,-0.26726124191242434,-0.8373558859220744,1.230989170017262,-0.5514035272029915,1.0563341117971006,-0.7415059931224046,-1.1011182422408563,0.14316298239105907,0.44552044032875837,-1.0412416356949368
5,-0.40217989034654467,-0.49843753503438565,-1.288357143052294,-0.26726124191242434,-0.8373558859220744,0.20161409043578765,-0.3898023744793153,1.0563341117971006,-0.7415059931224046,-1.1011182422408563,0.14316298239105907,0.4156260478566485,-1.0579400387567435
6,-0.39580171650847396,0.03318366397785018,-0.4645948534889422,-0.26726124191242434,-0.277018148232292,-0.398495788594974,-0.10610257303108434,0.8216218328375607,-0.5110302239631002,-0.5710585846435425,-1.427529955219827,0.43154104816554184,-0.053252787871386674
7,-0.389661469072987,0.03318366397785018,-0.4645948534889422,-0.26726124191242434,-0.277018148232292,-0.16878865786549574,0.9532827614907919,1.0040770626446578,-0.5110302239631002,-0.5710585846435425,-1.427529955219827,0.44552044032875837,0.8818577835897762
8,-0.3823828856838539,0.03318366397785018,-0.4645948534889422,-0.26726124191242434,-0.277018148232292,-0.9454858936445426,1.0933370938513114,1.0656440068564883,-0.5110302239631002,-0.5710585846435425,-1.427529955219827,0.3350832422393443,2.3819309919753926
9,-0.38687947641158343,0.03318366397785018,-0.4645948534889422,-0.26726124191242434,-0.277018148232292,-0.4099811451314479,0.5869868153171267,1.3042393073734615,-0.5110302239631002,-0.5710585846435425,-1.427529955219827,0.3359435125263114,0.5965933979505825
10,-0.3808931171539144,0.03318366397785018,-0.4645948534889422,-0.26726124191242434,-0.277018148232292,0.12552360338164814,0.8886423004013216,1.1894328627717652,-0.5110302239631002,-0.5710585846435425,-1.427529955219827,0.39842064211730427,1.0627571500926798
11,-0.39261699521150434,0.03318366397785018,-0.4645948534889422,-0.26726124191242434,-0.277018148232292,-0.4028027972961506,0.4792527135013427,1.1332927920618892,-0.5110302239631002,-0.5710585846435425,-1.427529955219827,0.44552044032875837,0.06363603356125867
12,-0.39520253487994883,0.03318366397785018,-0.4645948534889422,-0.26726124191242434,-0.277018148232292,-0.5750831453432593,-1.0972563097362973,0.7703472349225405,-0.5110302239631002,-0.5710585846435425,-1.427529955219827,0.37669881737138267,0.40317022915132406
13,-0.33670538200984007,-0.49843753503438565,-0.42550595749911696,-0.26726124191242434,-0.1581586281162774,-0.48894297131970554,-0.27847713593633866,0.4225594968748583,-0.6262681085427524,-0.5948814906029724,1.1753326271067848,0.44552044032875837,-0.6335222942691621
