y_test,y_pred,X_extra_test
0.85,1.8,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
0.95,0.5,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
1.77,1.215,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
2.4,1.58,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
8.0,3.6,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
3.6,2.89,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
1.2,1.25,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
6.244999999999999,3.1845,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
0.9,1.435,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
1.0,0.9,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
5.7,6.0,"      index  Reliability chemicalFormula Clean
3     820.0          1.0                Ag1Te1
5     789.5          1.0                 Ag2S1
26    650.0          1.0                As2Se3
28    617.0          1.0                 As4S4
31     37.0          1.0                  B1N1
..      ...          ...                   ...
431   305.0          1.0                  V1O2
443  1200.0          1.0                Yb1As1
446  1198.0          1.0                   YbS
449   424.0          1.0                 Zn1O1
459   731.0          1.0                 Zr1O2

[84 rows x 3 columns]"
