index,Reliability,chemicalFormula Clean
793.5,1.0,Ag1Cl1
820.0,1.0,Ag1Te1
803.0,1.0,Ag2Se1
164.5,1.0,Al1As1
184.0,1.0,Al1Bi1
149.0,1.0,Al1N1
159.0,1.0,Al1P1
177.5,1.0,Al1Sb1
153.5,1.0,Al2O3
163.0,1.0,Al2S3
176.0,1.0,Al2Se3
181.0,1.0,Al2Te3
644.0,1.0,As
614.0,1.0,As2O3
616.0,1.0,As2S3
650.0,1.0,As2Se3
662.0,1.0,As2Te3
617.0,1.0,As4S4
26.0,1.0,B1
37.0,1.0,B1N1
40.0,1.0,B2O3
1066.0,1.0,Ba1S1
1068.0,1.0,Ba1Se1
1070.0,1.0,Ba1Te1
23.0,1.0,Be1Se1
25.0,1.0,Be1Te1
24.0,1.0,Be3Sb2
1411.0,1.0,Bi1Br3
1391.5,1.0,Bi2O3
1401.0,1.0,Bi2S3
1428.0,1.0,Bi2Te3
60.0,1.0,C1Br4
262.0,1.0,Ca1B6
270.0,1.0,Ca1F2
265.0,1.0,Ca1O1
272.0,1.0,Ca1S1
274.0,1.0,Ca1Se1
276.0,1.0,Ca1Te1
278.0,1.0,Ca2Pb1
271.0,1.0,Ca2Si1
858.0,1.0,Cd1As2
874.0,1.0,Cd1Br2
856.0,1.0,Cd1Cl2
835.0,1.0,Cd1F2
890.5,1.0,Cd1I2
875.0,1.0,Cd1In1
832.5,1.0,Cd1O1
837.5,1.0,Cd1P2
841.0,1.0,Cd1P4
876.0,1.0,Cd1Sb1
886.0,1.0,Cd1Te1
840.0,1.0,Cd3P2
877.0,1.0,Cd4Sb3
1090.0,1.0,Ce1F3
1085.0,1.0,Ce1N1
1086.0,1.0,Ce1O2
1091.0,1.0,Ce2S3
1092.0,1.0,Ce2Se3
1095.0,1.0,Ce2Te3
378.0,1.0,Co1As2
379.0,1.0,Co1As3
372.0,1.0,Co1O1
377.0,1.0,Co1Si1
380.0,1.0,Co1Te1.88
318.0,1.0,Cr1O2
328.0,1.0,Cr1Sb1
322.0,1.0,Cr1Si2
317.0,1.0,Cr2O3
323.0,1.0,Cr2S3
325.0,1.0,Cr2Se3
324.0,1.0,Cr3Se4
329.0,1.0,CrTe
1059.0,1.0,Cs1Bi2
1046.0,1.0,Cs1Br1
1042.0,1.0,Cs1Cl1
1040.0,1.0,Cs1F1
1055.0,1.0,Cs1I1
1054.0,1.0,Cs2Te1
1045.0,1.0,Cs3As1
1060.0,1.0,Cs3Bi1
1049.0,1.0,Cs3Sb1
415.0,1.0,Cu1Br1
422.0,1.0,Cu1I1
400.0,1.0,Cu1P2
393.0,1.0,Cu2O1
402.0,1.0,Cu2S1
411.0,1.0,Cu2Se1
417.0,1.0,Cu2Te1
1177.0,1.0,Dy2O3
1185.0,1.0,Er1B6
1186.0,1.0,Er1N1
1193.0,1.0,Er1Te1
1188.0,1.0,Er2O3
1191.0,1.0,Er2Se3
1194.0,1.0,Er2Te3
1192.0,1.0,Er3Te4
1137.0,1.0,Eu1N1
1139.0,1.0,Eu1O1
1147.0,1.0,Eu1S1
1154.0,1.0,Eu1Se1
1160.0,1.0,Eu1Te1
1141.0,1.0,Eu2O3
1153.0,1.0,Eu3As2
371.0,1.0,Fe1I2
361.0,1.0,Fe1S2
357.0,1.0,Fe1Si1
356.0,1.0,Fe1Si2
