y_test,y_pred,X_extra_test
3.9,3.5135909089539648,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
4.1,2.610947231923836,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
1.2,1.4505247885010322,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
4.0,3.335607432715149,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
0.48,1.3725082046941484,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
2.4,2.065889287501756,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
0.93,2.5452626513071395,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
3.6,2.0145440546820192,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
2.66,3.6643605185790245,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
1.2,1.8008751274509187,"      index  Reliability chemicalFormula Clean
2     783.0          1.0                 Ag1N3
15    163.0          1.0                 Al2S3
18    644.0          1.0                    As
23    614.0          1.0                 As2O3
27    662.0          1.0                As2Te3
..      ...          ...                   ...
434   304.0          1.0                  V2O5
439  1218.0          1.0                 W1Se2
442   726.0          1.0                  Y2O3
449   424.0          1.0                 Zn1O1
464   730.0          1.0                 Zr3O1

[84 rows x 3 columns]"
