y_test,y_pred,X_extra_test
0.82,1.9951800000000008,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
3.1,1.8690150000000008,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
2.5,1.0460200000000004,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
2.48,2.890466666666669,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
9.06,7.437499999999999,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
3.6,2.517035,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
3.4,1.8355200000000003,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
0.67,1.73332,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
1.2,1.9004850000000004,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
0.21,1.226866666666667,"      index  Reliability chemicalFormula Clean
9     146.0          1.0                 Al1B1
16    176.0          1.0                Al2Se3
17    181.0          1.0                Al2Te3
25    618.0          1.0                 As2S5
35   1065.0          1.0                 Ba1F2
..      ...          ...                   ...
435   308.0          1.0                  V4O7
441   725.0          1.0                  Y1N1
445  1196.0          1.0                 Yb2O3
462   739.0          1.0                Zr1Se2
463   740.0          1.0                Zr1Se3

[84 rows x 3 columns]"
