y_test,y_pred,X_extra_test
0.85,0.5472983721957934,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
5.74,4.032965390129309,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
2.45,2.2234103045704963,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
1.215,1.9344406715385978,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
4.0,3.720400375641537,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
3.88,3.283123817906296,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
3.61,4.73951469197822,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
0.67,4.185518831841334,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
3.7,6.060877490216943,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
7.7,5.085843767190129,"       index  Reliability chemicalFormula Clean
3     820.00          1.0                Ag1Te1
11    149.00          1.0                 Al1N1
12    159.00          1.0                 Al1P1
21    648.50          1.0                As1Se1
23    614.00          1.0                 As2O3
..       ...          ...                   ...
418  1309.00          1.0                Tl1Br1
432   303.00          1.0                  V2O3
440  1223.00          1.0                 W1Te2
450   430.75          1.0                 Zn1P2
466   728.00          1.0                   ZrC

[84 rows x 3 columns]"
