index,Reliability,chemicalFormula Clean
785.0,1.0,Ag2O1
669.0,1.0,As1I3
663.0,1.0,As1Te1
47.0,1.0,B1As1
51.0,1.0,B1Sb1
22.0,1.0,Be1S1
277.0,1.0,Ca1I2
410.0,1.0,Cu1Cl1
1174.0,1.0,Dy1B6
1175.0,1.0,Dy1N1
1140.0,1.0,Eu3O4
1148.0,1.0,Eu3S4
366.0,1.0,Fe1Sb2
364.0,1.0,Fe1Sc2
530.0,1.0,Ga2Se3
1168.0,1.0,Gd1Te1
1269.0,1.0,Hg2Br2
1235.0,1.0,Ir1Se2
252.0,1.0,K1I1
236.0,1.0,K2Se1
1078.0,1.0,La2S3
0.5,1.0,Li1F1
330.0,1.0,Mn1O2
1117.0,1.0,Nd2Se3
1121.0,1.0,Nd2Te3
1118.0,1.0,Nd2Te5
1233.0,1.0,Os1Te2
1326.5,1.0,Pb1O2
1342.0,1.0,Pb1S1
1237.0,1.0,Pt1P2
773.0,1.0,Rh1Se2
774.0,1.0,Rh1Se3
1010.0,1.0,Sb2Se3
207.0,1.0,Si1As1
1135.0,1.0,Sm1Sb1
973.5,1.0,Sn1Se1
1035.0,1.0,Te1I1
301.0,1.0,Ti1Te2
286.0,1.0,Ti2O3
1318.0,1.0,Tl1I1
1294.0,1.0,Tl1S1
302.0,1.0,V1O1
307.0,1.0,V5O9
447.0,1.0,Zn1Se1
472.0,1.0,Zn1Te1
442.0,1.0,Zn3As2
734.5,1.0,Zr1S2
