index,Reliability,chemicalFormula Clean
808.5,1.0,Ag1Br1
793.5,1.0,Ag1Cl1
820.0,1.0,Ag1Te1
789.5,1.0,Ag2S1
803.0,1.0,Ag2Se1
819.0,1.0,Ag2Te1
164.5,1.0,Al1As1
184.0,1.0,Al1Bi1
149.0,1.0,Al1N1
159.0,1.0,Al1P1
177.5,1.0,Al1Sb1
153.5,1.0,Al2O3
163.0,1.0,Al2S3
176.0,1.0,Al2Se3
181.0,1.0,Al2Te3
644.0,1.0,As
661.0,1.0,As1Br3
648.5,1.0,As1Se1
614.0,1.0,As2O3
618.0,1.0,As2S5
650.0,1.0,As2Se3
662.0,1.0,As2Te3
617.0,1.0,As4S4
37.0,1.0,B1N1
42.0,1.0,B1P1
40.0,1.0,B2O3
1065.0,1.0,Ba1F2
1062.0,1.0,Ba1O1
1066.0,1.0,Ba1S1
1068.0,1.0,Ba1Se1
1070.0,1.0,Ba1Te1
16.5,1.0,Be1O1
25.0,1.0,Be1Te1
24.0,1.0,Be3Sb2
1445.0,1.0,Bi
1411.0,1.0,Bi1Br3
1437.5,1.0,Bi1I3
1391.5,1.0,Bi2O3
1401.0,1.0,Bi2S3
1406.0,1.0,Bi2Se3
52.5,1.0,C
262.0,1.0,Ca1B6
270.0,1.0,Ca1F2
265.0,1.0,Ca1O1
272.0,1.0,Ca1S1
274.0,1.0,Ca1Se1
276.0,1.0,Ca1Te1
278.0,1.0,Ca2Pb1
271.0,1.0,Ca2Si1
275.0,1.0,Ca2Sn1
858.0,1.0,Cd1As2
856.0,1.0,Cd1Cl2
835.0,1.0,Cd1F2
875.0,1.0,Cd1In1
837.5,1.0,Cd1P2
866.0,1.0,Cd1Sc1
886.0,1.0,Cd1Te1
900.0,1.0,Cd3Bi2
840.0,1.0,Cd3P2
877.0,1.0,Cd4Sb3
1090.0,1.0,Ce1F3
1085.0,1.0,Ce1N1
1086.0,1.0,Ce1O2
1091.0,1.0,Ce2S3
1092.0,1.0,Ce2Se3
1095.0,1.0,Ce2Te3
378.0,1.0,Co1As2
379.0,1.0,Co1As3
372.0,1.0,Co1O1
377.0,1.0,Co1Si1
380.0,1.0,Co1Te1.88
318.0,1.0,Cr1O2
322.0,1.0,Cr1Si2
317.0,1.0,Cr2O3
323.0,1.0,Cr2S3
325.0,1.0,Cr2Se3
324.0,1.0,Cr3Se4
329.0,1.0,CrTe
1059.0,1.0,Cs1Bi2
1046.0,1.0,Cs1Br1
1042.0,1.0,Cs1Cl1
1055.0,1.0,Cs1I1
1054.0,1.0,Cs2Te1
1045.0,1.0,Cs3As1
1060.0,1.0,Cs3Bi1
1049.0,1.0,Cs3Sb1
415.0,1.0,Cu1Br1
422.0,1.0,Cu1I1
391.0,1.0,Cu1N3
400.0,1.0,Cu1P2
393.0,1.0,Cu2O1
402.0,1.0,Cu2S1
411.0,1.0,Cu2Se1
1179.0,1.0,Dy2S3
1185.0,1.0,Er1B6
1186.0,1.0,Er1N1
1190.0,1.0,Er1Se2
1193.0,1.0,Er1Te1
1188.0,1.0,Er2O3
1194.0,1.0,Er2Te3
1192.0,1.0,Er3Te4
1137.0,1.0,Eu1N1
1139.0,1.0,Eu1O1
1154.0,1.0,Eu1Se1
1141.0,1.0,Eu2O3
1153.0,1.0,Eu3As2
1146.0,1.0,Eu3P2
362.0,1.0,Fe1As2
360.0,1.0,Fe1P2
356.0,1.0,Fe1Si2
369.0,1.0,Fe1Te2
368.0,1.0,Fe2Te3
511.0,1.0,Ga1As1
566.0,1.0,Ga1Bi1
492.5,1.0,Ga1P1
499.0,1.0,Ga1S1
546.0,1.0,Ga1Sb1
528.5,1.0,Ga1Se1
552.0,1.0,Ga1Te1
500.0,1.0,Ga2S3
1167.0,1.0,Gd1As1
1163.0,1.0,Gd1B6
1164.0,1.0,Gd1N1
1165.0,1.0,Gd2O3
585.5,1.0,Ge
596.5,1.0,Ge1As1
596.5,1.0,Ge1As2
613.0,1.0,Ge1I2
567.0,1.0,Ge1O2
578.0,1.0,Ge1S1
579.0,1.0,Ge1S2
599.5,1.0,Ge1Se1
601.5,1.0,Ge1Se2
607.0,1.0,Ge1Te1
608.0,1.0,Ge1Te2
1203.0,1.0,Hf1O2
1205.0,1.0,Hf1S3
1208.5,1.0,Hf1Se2
1277.0,1.0,Hg1I2
1250.0,1.0,Hg1O1
1254.5,1.0,Hg1S1
1271.0,1.0,Hg1Te1
1261.0,1.0,Hg2Cl2
1182.0,1.0,Ho1N1
1184.0,1.0,Ho2O3
916.0,1.0,In1As1
901.0,1.0,In1N1
906.0,1.0,In1P1
913.0,1.0,In1S1
934.0,1.0,In1Sb1
923.5,1.0,In1Se1
902.5,1.0,In2O3
911.5,1.0,In2S3
925.5,1.0,In2Se1
914.0,1.0,In4S5
1234.0,1.0,Ir1S2
227.5,1.0,K1F1
230.0,1.0,K2S1
246.0,1.0,K3Sb1
1072.0,1.0,La1B6
1077.0,1.0,La1F3
1082.0,1.0,La1Sb1
1075.0,1.0,La2O3
1080.0,1.0,La2Se3
1083.0,1.0,La2Te3
1084.0,1.0,La3Te4
7.0,1.0,Li1Br1
6.0,1.0,Li1Cl1
10.0,1.0,Li1I1
15.0,1.0,Li3Bi1
9.0,1.0,Li3Sb1
92.0,1.0,Mg1F2
89.0,1.0,Mg1O1
107.5,1.0,Mg2Ge1
141.0,1.0,Mg2Pb1
128.5,1.0,Mg2Sn1
123.0,1.0,Mg3As2
144.0,1.0,Mg3Bi2
105.0,1.0,Mg3P2
137.0,1.0,Mg3Sb2
340.0,1.0,Mn1Al3
337.5,1.0,Mn1F2
351.0,1.0,Mn1I2
331.0,1.0,Mn1O1
343.0,1.0,Mn1S1
348.0,1.0,Mn1Te2
341.0,1.0,MnSi
754.5,1.0,Mo1S2
760.0,1.0,Mo1Te2
72.0,1.0,Na1Br1
84.0,1.0,Na1I1
71.0,1.0,Na2Se1
82.0,1.0,Na2Te1
76.0,1.0,Na3Sb1
741.0,1.0,Nb1O2
746.0,1.0,Nb1Se2
742.0,1.0,Nb2O5
745.0,1.0,Nb2S3
1116.0,1.0,Nd1As1
1114.0,1.0,Nd1F3
1119.0,1.0,Nd1Te2
1113.0,1.0,Nd2O3
1120.0,1.0,Nd4Te7
381.0,1.0,Ni1O1
385.0,1.0,Ni1P2
386.0,1.0,Ni1S1
387.0,1.0,Ni1S2
390.0,1.0,NiTe
1231.0,1.0,Os1As2
1229.0,1.0,Os1P2
1230.0,1.0,Os1S2
1232.0,1.0,Os1Sb2
218.5,1.0,P
222.0,1.0,P1As1
1367.0,1.0,Pb1Br2
1352.0,1.0,Pb1Cl2
1385.0,1.0,Pb1I2
1320.0,1.0,Pb1N6
1323.0,1.0,Pb1O1
1355.0,1.0,Pb1Se1
1371.0,1.0,Pb1Te1
1325.0,1.0,Pb2O3
1328.0,1.0,Pb3O4
775.0,1.0,Pd1O1
777.0,1.0,Pd1P2
778.0,1.0,Pd1S1
779.0,1.0,Pd1S2
780.0,1.0,Pd1Se1
781.0,1.0,Pd1Se2
1096.0,1.0,Pr1B6
1101.0,1.0,Pr1F3
1097.0,1.0,Pr1O2
1106.0,1.0,Pr1Sb1
1107.5,1.0,Pr1Te2
1098.0,1.0,Pr2O3
1104.0,1.0,Pr2Se3
1241.0,1.0,Pt1As2
1236.0,1.0,Pt1O2
1240.0,1.0,Pt1S2
1244.0,1.0,Pt1Sb2
699.0,1.0,Rb1Br1
694.0,1.0,Rb1Cl1
693.0,1.0,Rb1F1
707.0,1.0,Rb2Te1
703.0,1.0,Rb3Sb1
1228.0,1.0,Re1Se2
772.0,1.0,Rh1S3
766.0,1.0,Ru1As2
764.0,1.0,Ru1P2
765.0,1.0,Ru1S2
768.0,1.0,Ru1Sb2
767.0,1.0,Ru1Se2
223.0,1.0,S
1014.0,1.0,Sb
1019.0,1.0,Sb1I3
994.0,1.0,Sb2O3
999.0,1.0,Sb2S3
1016.0,1.0,Sb2Te3
279.0,1.0,Sc1N1
280.0,1.0,Sc2O3
284.0,1.0,Sc2S3
673.0,1.0,Se
689.0,1.0,Se1Te1
690.0,1.0,Se3Te1
671.0,1.0,SeS
199.0,1.0,Si
195.0,1.0,Si1O2
206.0,1.0,Si1P2
213.0,1.0,Si1Sn1
215.5,1.0,Si1Te2
214.0,1.0,Si2Te3
192.0,1.0,Si3N4
1131.0,1.0,Sm1As1
1123.0,1.0,Sm1B6
1126.0,1.0,Sm1P1
1127.0,1.0,Sm1S1
1132.0,1.0,Sm1Se1
1136.0,1.0,Sm1Te1
1128.0,1.0,Sm2S3
1133.0,1.0,Sm2Se3
984.0,1.0,Sn
982.0,1.0,Sn1Br2
970.0,1.0,Sn1Cl2
992.0,1.0,Sn1I4
948.5,1.0,Sn1O2
966.0,1.0,Sn1S1
716.0,1.0,Sr1O1
719.0,1.0,Sr1S1
723.0,1.0,Sr1Te1
1210.0,1.0,TaN
1169.0,1.0,Tb1O2
1170.0,1.0,Tb2O3
1171.0,1.0,Tb4O7
1023.0,1.0,Te
1022.0,1.0,Te1O2
285.0,1.0,Ti1C0.9
287.5,1.0,Ti1O2
295.0,1.0,Ti1S2
297.0,1.0,Ti1S3
