chemicalFormula Clean,index,Band gap values Clean,Reliability,testdata
Ag1Br1,808.5,3.4850000000000003,1.0,0
Ag1Cl1,793.5,4.1899999999999995,1.0,0
Ag1N3,783.0,3.9,1.0,0
Ag1Te1,820.0,0.85,1.0,0
Ag2O1,785.0,1.2,1.0,1
Ag2S1,789.5,0.95,1.0,0
Ag2Se1,803.0,0.13,1.0,0
Ag2Te1,819.0,0.064,1.0,0
Al1As1,164.5,2.5,1.0,0
Al1B1,146.0,0.82,1.0,0
Al1Bi1,184.0,0.4,1.0,0
Al1N1,149.0,5.74,1.0,0
Al1P1,159.0,2.45,1.0,0
Al1Sb1,177.5,1.919,1.0,0
Al2O3,153.5,9.7,1.0,0
Al2S3,163.0,4.1,1.0,0
Al2Se3,176.0,3.1,1.0,0
Al2Te3,181.0,2.5,1.0,0
As,644.0,1.2,1.0,0
As1Br3,661.0,2.6,1.0,0
As1I3,669.0,2.29,1.0,1
As1Se1,648.5,1.2149999999999999,1.0,0
As1Te1,663.0,0.74,1.0,1
As2O3,614.0,4.0,1.0,0
As2S3,616.0,2.43,1.0,0
As2S5,618.0,2.48,1.0,0
As2Se3,650.0,1.77,1.0,0
As2Te3,662.0,0.48,1.0,0
As4S4,617.0,2.4,1.0,0
B1,26.0,0.93,1.0,0
B1As1,47.0,1.46,1.0,1
B1N1,37.0,8.0,1.0,0
B1P1,42.0,2.0,1.0,0
B1Sb1,51.0,2.6,1.0,1
B2O3,40.0,7.0,1.0,0
Ba1F2,1065.0,9.06,1.0,0
Ba1O1,1062.0,5.13,1.0,0
Ba1S1,1066.0,3.88,1.0,0
Ba1Se1,1068.0,3.6,1.0,0
Ba1Te1,1070.0,3.4,1.0,0
Be1O1,16.5,10.48,1.0,0
Be1S1,22.0,4.17,1.0,1
Be1Se1,23.0,3.61,1.0,0
Be1Te1,25.0,2.89,1.0,0
Be3Sb2,24.0,0.67,1.0,0
Bi,1445.0,0.015,1.0,0
Bi1Br3,1411.0,2.66,1.0,0
Bi1I3,1437.5,1.9625,1.0,0
Bi2O3,1391.5,2.755,1.0,0
Bi2S3,1401.0,1.2,1.0,0
Bi2Se3,1406.0,0.21,1.0,0
Bi2Te3,1428.0,0.145,1.0,0
C,52.5,6.244999999999999,1.0,0
C1Br4,60.0,3.7,1.0,0
C1I4,61.0,2.26,1.0,0
Ca1B6,262.0,4.5,1.0,0
Ca1F2,270.0,10.0,1.0,0
Ca1I2,277.0,5.98,1.0,1
Ca1O1,265.0,7.7,1.0,0
Ca1S1,272.0,6.0,1.0,0
Ca1Se1,274.0,4.87,1.0,0
Ca1Te1,276.0,4.07,1.0,0
Ca2Pb1,278.0,0.46,1.0,0
Ca2Si1,271.0,1.9,1.0,0
Ca2Sn1,275.0,0.9,1.0,0
Cd1As2,858.0,1.0,1.0,0
Cd1Br2,874.0,4.47,1.0,0
Cd1Cl2,856.0,5.7,1.0,0
Cd1F2,835.0,6.0,1.0,0
Cd1I2,890.5,3.5615,1.0,0
Cd1In1,875.0,0.6,1.0,0
Cd1O1,832.5,1.75,1.0,0
Cd1P2,837.5,1.785,1.0,0
Cd1P4,841.0,1.0,1.0,0
Cd1S1,849.5,2.4175,1.0,0
Cd1Sb1,876.0,0.45,1.0,0
Cd1Sc1,866.0,1.714,1.0,0
Cd1Te1,886.0,1.517,1.0,0
Cd3As2,859.0,0.13,1.0,0
Cd3Bi2,900.0,0.2,1.0,0
Cd3P2,840.0,0.52,1.0,0
Cd4Sb3,877.0,1.25,1.0,0
Ce1F3,1090.0,4.85,1.0,0
Ce1N1,1085.0,0.7,1.0,0
Ce1O2,1086.0,2.68,1.0,0
Ce2S3,1091.0,1.12,1.0,0
Ce2Se3,1092.0,1.75,1.0,0
Ce2Te3,1095.0,1.4,1.0,0
Co1As2,378.0,0.15,1.0,0
Co1As3,379.0,0.25,1.0,0
Co1O1,372.0,0.47,1.0,0
Co1Si1,377.0,0.045,1.0,0
Co1Te1.88,380.0,0.2,1.0,0
Cr1O2,318.0,0.23,1.0,0
Cr1Sb1,328.0,0.2,1.0,0
Cr1Si2,322.0,0.35,1.0,0
